date,player,bet,win,x,game,provider,videoUrl,thumb,tags
08.12.2024,Moses,"1,20€","1.676,04 €","1396,7",Wanted Dead or a Wild,Hacksaw Gaming,
13.04.2025,Moses,"1,80€","1.476,00 €","820,0",Wanted Dead or a Wild,Hacksaw Gaming,
30.11.2024,Moses,"0,20€","1.370,96 €","6854,8",Wanted Dead or a Wild,Hacksaw Gaming,
19.04.2025,Moses,"0,60€","768,80 €","1281,3",Wanted Dead or a Wild,Hacksaw Gaming,
19.04.2025,Moses,"0,60€","760,63 €","1267,7",Wanted Dead or a Wild,Hacksaw Gaming,
02.09.2024,Planki,"0,60€","759,30 €","1265,5",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=13475611282&partner=745&language=de,assets/img/wanted.avif
03.07.2025,Planki,"0,20€","718,90 €","3594,5",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12006206269972&partner=2942&language=de-de&channel=desktop,assets/img/wanted.avif
06.11.2024,Moses,"1,00€","713,10 €","713,1",Wanted Dead or a Wild,Hacksaw Gaming,
14.09.2025,Planki,"0,60€","625,02 €","1041,7",Wanted Dead or a Wild,Hacksaw Gaming,https://dhh68l6ktxf70.cloudfront.net/replay-manager/?roundid=12007437669683&partner=2942&language=de-de&channel=desktop,assets/img/wanted.avif
05.09.2025,Robin,"0,40€","623,08€","1557,7",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=21895584054&partner=745&language=de-de&channel=desktop,assets/img/wanted.avif
13.04.2025,Moses,"1,00€","586,50 €","586,5",Wanted Dead or a Wild,Hacksaw Gaming,
08.12.2024,Moses,"1,00€","582,20 €","582,2",Wanted Dead or a Wild,Hacksaw Gaming,
13.05.2025,Moses,"0,60€","568,20 €","947,0",Wanted Dead or a Wild,Hacksaw Gaming,
10.08.2024,Planki,"0,20€","485,04 €","2425,2",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12000944048728&partner=2942&language=de,assets/img/wanted.avif
12.07.2025,Planki,"0,40€","472,50 €","2362,5",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12006354333621&partner=2942&language=de-de&channel=desktop,assets/img/wanted.avif
10.12.2024,Moses,"0,40€","468,48 €","1171,2",Wanted Dead or a Wild,Hacksaw Gaming,
29.05.2025,Planki,"0,40€","441,82 €","2209,1",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12005589146961&partner=2942&language=de-de&channel=desktop,assets/img/wanted.avif
09.09.2024,Moses,"0,20€","411,52 €","2057,6",Wanted Dead or a Wild,Hacksaw Gaming,
05.09.2025,Robin,"0,20€","406,12€","2030,6",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=21894304940&partner=745&language=de-de&channel=desktop,assets/img/wanted.avif
10.12.2024,Moses,"0,40€","403,60 €","1009,0",Wanted Dead or a Wild,Hacksaw Gaming,
12.03.2025,Moses,"1,00€","385,40 €","385,4",Wanted Dead or a Wild,Hacksaw Gaming,
04.11.2024,Moses,"1,00€","376,00 €","376,0",Wanted Dead or a Wild,Hacksaw Gaming,
08.12.2024,Moses,"1,00€","362,20 €","362,2",Wanted Dead or a Wild,Hacksaw Gaming,
29.11.2024,Robin,"0,10€","357,20 €","3572,0",Wanted Dead or a Wild,Hacksaw Gaming,
09.09.2024,Planki,"0,20€","354,80 €","1947,0",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12001299833104&partner=2942&language=de,assets/img/wanted.avif
02.10.2024,Robin,"0,11€","349,28 €","3175,3",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=4005965596950&partner=1365&language=en&channel=desktop,assets/img/wanted.avif
08.04.2025,Robin,"0,20€","341,88 €","1709,4",Wanted Dead or a Wild,Hacksaw Gaming,
06.09.2024,Planki,"0,20€","339,60 €","1698,0",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12001258402224&partner=2942&language=de,assets/img/wanted.avif
25.10.2024,Planki,"0,20€","317,34 €","1586,7",Wanted Dead or a Wild,Hacksaw Gaming,
12.09.2025,Domi,"0,20€","311,74 €","1558,7",Wanted Dead or a Wild,Hacksaw Gaming,
07.04.2024,Moses,"0,20€","311,00 €","1555,0",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=1006690616240&partner=676&language=de,assets/img/wanted.avif
22.07.2024,Robin,"0,20€","280,32 €","1401,6",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12569204292&partner=745&language=de,assets/img/wanted.avif
29.08.2025,Domi,"0,20€","275,69 €","1378,5",Wanted Dead or a Wild,Hacksaw Gaming,
18.07.2024,Robin,"0,20€","271,68 €","1358,4",Wanted Dead or a Wild,Hacksaw Gaming,
